id	file_name
4daf9340-64ef-4362-b790-fd74632fe192	TCGA-A8-A08X-01Z-00-DX1.01FB49CC-6B8E-4317-8C42-6B6D81187A40.svs
0a9ea7ac-9d51-4ff7-b40b-659a57e64945	TCGA-A1-A0SD-01Z-00-DX1.DB17BFA9-D951-42A8-91D2-F4C2EBC6EB9F.svs
3d15211e-e283-44b8-b673-e73ca65572a6	TCGA-A8-A06R-01Z-00-DX1.41476D0D-BA72-4FB8-B143-9EB679F26D28.svs
e4f5a1df-e4ee-4cd8-8f33-3cd0012290cc	TCGA-BH-A1FU-01Z-00-DX1.3D195750-8C9E-48C6-92EC-44AC6AB56267.svs
8fe218ac-8d95-467c-83d0-b78ca819cec7	TCGA-E9-A3QA-01Z-00-DX1.9D664AF3-9ABD-4EED-B826-4C4FBFC33F3E.svs
5acee561-9fab-46d5-b0ff-8be3af8ebd75	TCGA-BH-A0DQ-01Z-00-DX1.5A98747C-52D9-45AD-BC84-934A96F069EB.svs
1c987569-802c-481c-a440-ca27a4098d3d	TCGA-AN-A0XT-01Z-00-DX1.882AF4CE-62A1-4808-9B4B-780066E5E602.svs
66be7630-d2f0-4c0e-81a6-b70a803615a2	TCGA-BH-A5IZ-01Z-00-DX1.6C871030-82E1-463E-A67B-976A5F3DCDB2.svs
87e7cf96-5ab5-4f26-b839-25cd31607c9c	TCGA-A2-A3XU-01Z-00-DX1.174A92D4-50B2-4A59-AD31-D5EC5BBF2F65.svs
a7002593-8da9-4d5a-9b66-75a85f3ee466	TCGA-D8-A1JM-01Z-00-DX1.3CD15BC8-08B3-4BEE-9FD7-A8BEED33268E.svs
c713f828-2725-4901-a9fe-01d3192edc46	TCGA-GM-A2DB-01Z-00-DX1.9EE36AA6-2594-44C7-B05C-91A0AEC7E511.svs
471a120c-a28e-4e29-b53a-4dc7e3b7c33d	TCGA-AN-A0AL-01Z-00-DX1.D9E446A3-175F-4242-AFC1-78FFE3FC9AC4.svs
1d5bedeb-6a05-4a09-b4de-d16ef67f6ff8	TCGA-AC-A2B8-01Z-00-DX1.14F3A9B2-1382-436A-B53C-92FC8495AD48.svs
0415dc25-2014-4f97-8ad5-fe33adc92874	TCGA-JL-A3YW-01Z-00-DX1.827C5C53-9C30-4307-802A-5A7896828A7F.svs
86d7c274-bd7a-4dbb-b2b1-2fdf1033b4dd	TCGA-B6-A0I8-01Z-00-DX1.E576652B-C3F6-4A01-83BC-6DD154C75605.svs
bafa044b-e523-428c-8f23-87fea53662ab	TCGA-AO-A0JC-01Z-00-DX1.C8DD421B-9799-4FE7-9224-5EAC6ED1028E.svs
b545c7e6-8318-47e1-8ed4-62a5883a1d1c	TCGA-BH-A0W4-01Z-00-DX1.23E017DC-15CB-4838-AC91-CFB11B932AB0.svs
88e15db1-54ef-43e8-91d6-bb41d9fb3cf1	TCGA-AR-A5QN-01Z-00-DX1.BF92AA24-3D44-4FFA-BCC0-CDB934EC3BBC.svs
45398b45-a170-4bc5-847a-faed782fca36	TCGA-B6-A0RE-01Z-00-DX1.8933BDB4-EF8D-41FA-9A50-05BB3AB976E5.svs
